date;w00;w03;w06;w09;w12;w15;w18;w21;;;;;;;;;t00;t03;t06;t09;t12;t15;t18;t21;r00;r03;r06;r09;r12;r15;r18;r21;с00;с03;с06;с09;с12;с15;с18;с21
20.06.2011;5;5;7;8;8;7;4;4;;;;;;;;;10;9;14;18;20;20;17;12;;;;;;;;;5;;;;16;29;45;24
21.06.2011;4;4;6;6;7;6;3;2;;;;;;;;;10;9;15;19;21;22;18;12;;;;;;;;;;;;;;;8;13
22.06.2011;3;3;3;3;2;2;1;1;;;;;;;;;10;10;14;18;21;22;19;11;;;;;;;;;18;35;79;67;80;60;51;45
23.06.2011;1;1;2;2;2;2;2;2;;;;;;;;;11;12;18;21;19;19;16;14;;;;;3;1.4;0.3;;47;52;30;40;93;96;99;83
24.06.2011;2;3;3;4;3;2;2;2;;;;;;;;;12;12;16;21;22;18;16;15;;;;0.4;2.5;5.3;2.2;2.5;53;58;;38;97;98;100;99
25.06.2011;2;2;2;3;4;3;3;5;;;;;;;;;14;14;16;17;20;21;18;16;2.4;1.2;;0.5;0.8;0.5;0.3;9.5;100;99;96;97;99;99;97;98
26.06.2011;7;6;6;6;6;5;4;3;;;;;;;;;15;13;13;15;15;17;16;14;11.2;3.8;0.6;0.4;0.7;0.5;1.2;0.3;100;100;100;100;100;99;100;89
27.06.2011;3;3;3;3;4;4;3;2;;;;;;;;;12;12;15;21;23;23;20;14;;;;;;;;;56;48;88;72;38;20;;
28.06.2011;1;2;2;2;2;1;1;1;;;;;;;;;11;14;19;25;26;27;22;14;;;;;;;;;;;;;;;;
29.06.2011;1;2;1;1;2;2;2;3;;;;;;;;;14;15;22;28;28;27;24;19;;;;;;;;;;;;;;;;
30.06.2011;3;2;3;3;3;4;3;3;;;;;;;;;17;18;19;24;26;26;20;14;;;;;;;;;19;50;100;94;73;41;15;26
01.07.2011;2;3;3;5;6;5;3;2;;;;;;;;;11;11;17;22;25;25;22;15;;;;;;;;;48;59;55;31;28;37;37;38
02.07.2011;3;3;4;6;6;3;2;2;;;;;;;;;14;14;20;27;28;26;23;17;;;;;;;;;33;36;20;10;17;41;74;48
03.07.2011;3;2;2;1;2;3;2;3;;;;;;;;;14;13;19;27;29;29;26;21;;;;;0.3;0.4;;;21;11;;;10;34;32;17
04.07.2011;3;3;3;4;5;4;3;3;;;;;;;;;18;17;22;28;31;32;27;22;;;;;;;;;;8;51;40;24;37;85;51
05.07.2011;3;2;2;2;2;1;3;3;;;;;;;;;19;18;22;26;29;27;24;18;;;;;;4;;0.6;37;23;8;12;13;38;57;73
06.07.2011;3;3;2;3;3;2;2;3;;;;;;;;;16;15;17;22;25;25;21;15;;;;;;;;;97;91;83;74;57;71;57;30
07.07.2011;2;2;3;4;5;4;4;4;;;;;;;;;14;13;18;23;24;25;22;17;;;;;;;;1.8;15;8;9;;;;;22
08.07.2011;4;4;4;4;3;3;1;1;;;;;;;;;16;15;19;25;29;30;27;20;;;4.1;2.5;1.2;1.2;;;96;97;93;89;60;58;;
09.07.2011;2;2;3;4;3;2;2;3;;;;;;;;;18;17;20;22;26;24;21;18;0.4;0.7;2.3;2.2;;4.8;1.4;0.5;67;79;93;96;98;96;97;96
10.07.2011;3;3;4;3;3;3;4;3;;;;;;;;;16;15;15;16;17;18;17;14;;;0.9;4.6;0.5;;;1.4;86;92;100;100;99;94;43;60
11.07.2011;5;6;6;6;6;4;4;3;;;;;;;;;13;12;11;9;12;13;11;9;9.9;11.1;9.4;5.9;0.6;0.7;0.5;0.7;100;100;100;100;100;100;97;99
12.07.2011;3;3;3;3;4;4;2;3;;;;;;;;;8;6;11;17;17;14;13;10;;;;;;0.8;0.5;;95;53;;;78;87;73;57
13.07.2011;3;4;4;4;4;4;3;4;;;;;;;;;8;8;12;18;20;20;16;13;;;;;;;;;60;36;16;12;9;29;86;70
14.07.2011;4;3;3;4;3;2;1;3;;;;;;;;;11;9;15;20;22;23;19;15;;;;;;;;;;;;;;;8;31
15.07.2011;3;2;2;1;2;4;3;3;;;;;;;;;12;12;17;23;23;20;18;15;;;;;;1.3;;;76;58;58;78;98;97;93;85
16.07.2011;4;4;4;4;3;3;2;3;;;;;;;;;13;11;16;21;23;24;20;15;;;;;;;;;70;68;82;62;53;28;;
17.07.2011;2;3;2;2;1;1;1;2;;;;;;;;;13;11;16;23;26;26;20;14;;;;;;;;;;8;11;13;67;54;16;13
18.07.2011;2;2;2;2;2;1;1;2;;;;;;;;;14;13;19;25;27;28;24;20;;;;;;;;;35;19;;;;;26;22
19.07.2011;2;2;1;2;2;3;3;3;;;;;;;;;17;15;21;27;24;22;20;17;;;0.6;0.3;6.5;0.9;0.4;0.5;10;11;40;37;68;83;98;95
20.07.2011;2;2;3;3;3;4;2;3;;;;;;;;;15;14;17;22;24;24;19;14;;;;;;;;;94;72;34;42;27;14;;
21.07.2011;2;3;4;4;3;2;1;2;;;;;;;;;11;9;13;18;20;21;17;12;;;;;;;;;;;;;23;31;18;9
22.07.2011;2;2;2;3;3;3;2;1;;;;;;;;;10;9;15;21;22;23;18;11;;;;;;;;;;;11;9;;;23;20
23.07.2011;1;1;1;3;3;2;1;3;;;;;;;;;9;9;18;25;27;27;23;19;;;;;;;;;13;12;9;9;9;28;55;29
24.07.2011;3;3;2;3;4;4;3;3;;;;;;;;;18;16;21;28;29;29;25;22;;;;;;;;;;;;7;;14;76;74
25.07.2011;3;4;4;5;5;4;2;2;;;;;;;;;19;18;23;28;29;30;25;19;;;;;;;;;37;19;;;;;;
26.07.2011;1;1;1;1;2;3;3;3;;;;;;;;;14;14;24;30;32;32;26;22;;;;;;;;;;;;;;;;9
27.07.2011;3;2;1;1;2;2;1;2;;;;;;;;;19;18;24;31;31;31;27;24;;;;;;;;;46;26;;;;;23;34
28.07.2011;2;2;2;2;2;1;2;2;;;;;;;;;19;18;21;27;29;29;23;20;1.2;;;;;;0.8;3;29;26;40;45;37;46;98;98
29.07.2011;2;1;4;4;4;3;2;2;;;;;;;;;17;15;19;23;25;26;22;17;0.3;;;;;;;;81;55;6;10;64;39;;
30.07.2011;2;3;4;5;5;4;3;2;;;;;;;;;16;15;20;25;24;21;20;17;;;;;1.4;1.5;3.5;8.9;;;;5;87;92;96;95
31.07.2011;3;4;3;3;4;5;5;3;;;;;;;;;16;15;16;17;18;17;16;11;0.3;;0.6;0.6;;;;;80;88;100;96;90;91;88;69
01.08.2011;3;2;2;4;3;3;1;2;;;;;;;;;8;7;12;16;17;15;12;11;;;;;;1.1;1.7;0.3;;15;46;31;81;90;100;100
